SHA1,Detected by,Sophos,Kaspersky,ESET-NOD32,Microsoft
5dffc7f1b244096c375153aa2cdbc110a808bd59,12/55,None,HEUR:Trojan-Downloader.Script.Generic,None,None
5e008b672ce1bb18f556f7b3a3427067c75f6bcc,10/55,JS/DwnLdr-OMD,HEUR:Trojan-Downloader.Script.Generic,JS/TrojanDownloader.Nemucod.AVX,None
5e02135fc997f5ee4c49f1b37cabbdf3544f60c6,7/54,None,HEUR:Trojan-Downloader.Script.Generic,None,None
5e024f715cbe5acee4f0ccefc22a699f51a4e9a6,6/55,None,None,JS/TrojanDownloader.Nemucod.AYE,None
5e04ebe353041988d10b85da17e30778152eb3a8,26/56,Troj/JSDldr-CX,Trojan-Downloader.JS.Agent.hlg,JS/TrojanDownloader.Nemucod.CZ,TrojanDownloader:JS/Nemucod.Y
5e04f9861668eb5379e5e8d1063206fbd04d620d,36/57,Troj/JSdldr-HB,Trojan-Downloader.JS.Agent.jwg,JS/TrojanDownloader.Nemucod.PI,TrojanDownloader:JS/Swabfex.P
5e0704eede1d8575694f4406085af133a1cd73ef,27/55,Troj/JsDwnLdr-X,Trojan.JS.Agent.dlf,JS/TrojanDownloader.Nemucod.AZX,TrojanDownloader:JS/Swabfex.C
5e09e4197af0c5b21bbb4427cfb6b051fb06151d,31/54,JS/Dwnldr-NQH,Trojan-Downloader.JS.Agent.lop,JS/TrojanDownloader.Nemucod.AJP,TrojanDownloader:JS/Nemucod.FJ
5e09e6c6a01a4ffaac131af34f22f2c2dcfc5c01,,,,,
5e0a64fd349fa02f15d1f2bd5369b0369010f79d,26/56,JS/DwnLdr-NPJ,HEUR:Trojan-Downloader.Script.Generic,JS/TrojanDownloader.Nemucod.AEZ,TrojanDownloader:JS/Nemucod.FJ
5e0addfffe18aca2dfb1472471111c8589a320b5,21/56,Troj/JsDwnLdr-X,Trojan.JS.Agent.dlf,JS/TrojanDownloader.Nemucod.AZX,None
